"Freq [GHz]","re(Z(1,1)) [] - antL='0.42meter'","im(Z(1,1)) [] - antL='0.42meter'"
0.1,0.898007853080964,-213.423846672992
0.105,0.913676883004299,-199.098125819407
0.11,0.931257599776292,-185.861618495767
0.115,0.950711125522312,-173.569414525463
0.12,0.971987901302446,-162.100537212063
0.125,0.995027365534212,-151.353135100044
0.13,1.01975742412421,-141.240779881146
0.135,1.04609368689135,-131.689582906587
0.14,1.0739384321132,-122.635924626521
0.145,1.1031792719155,-114.024647697515
0.15,1.13368754908931,-105.807603779903
0.155,1.16531663625425,-97.9424718048046
0.16,1.19790057768601,-90.3917851851476
0.165,1.23125397007713,-83.1221195725658
0.17,1.2651746804456,-76.1034029088218
0.175,1.29945198613576,-69.3083168900227
0.18,1.33388396933218,-62.711764364383
0.185,1.36830935264031,-56.2903811790481
0.19,1.40266007236514,-50.0220737445985
0.195,1.43704119998676,-43.8855645420769
0.2,1.47184378514466,-37.8599251856364
0.205,1.50789382353807,-31.9240664734582
0.21,1.5466384876365,-26.0561294822262
0.215,1.59037359721864,-20.2326664620171
0.22,1.64253307821878,-14.4273817425434
0.225,1.70810898618378,-8.60892188683019
0.23,1.79439814071767,-2.73636286376581
0.235,1.91276594470384,3.25276916426591
0.24,2.08831386019212,9.51113921796676
0.245,2.29117690447628,15.0355239693884
0.25,2.62390125556489,23.054138038744
0.255,11.9447854543893,16.7242348176172
0.26,5.57832476034479,39.7922472855727
0.265,19.9800288905085,14.5467319167091
0.27,12.1199436865136,57.738137992872
0.275,15.3719340503563,38.4223087513726
0.28,24.2664379902576,46.4849296884793
0.285,36.8336363546383,63.8489371910141
0.29,19.4107682439768,19.4247043133807
0.295,6.60652703256431,40.2259711716486
0.3,4.76432383727552,52.2439250937275
0.305,4.56431170618472,61.4940891051445
0.31,4.95997948607943,69.6506580837448
0.315,5.73447823274663,77.2974309539842
0.32,6.84250157588044,84.6691694019868
0.325,8.27597069132161,91.849923483587
0.33,10.0119398740337,98.8507714361537
0.335,11.9866754181982,105.666039920778
0.34,14.1014506725276,112.328903621066
0.345,16.2659537324801,118.948516675681
0.35,18.456890547367,125.706711629737
0.355,20.7605745916698,132.824546270189
0.36,23.4014568997029,140.528457394257
0.365,26.7958035034239,149.020487194515
0.37,31.6856313541197,158.396138229311
0.375,39.3848523098664,168.311774589224
0.38,51.8258841822486,176.853367940249
0.385,69.2034008677064,178.355809542322
0.39,82.3938599124907,167.165135967519
0.395,80.0015168562193,153.673488789975
0.4,69.8161915181576,150.785516366251
0.405,61.6339720926508,156.168088597796
0.41,57.1853636220435,164.951017587399
0.415,55.6289416852951,174.869403914897
0.42,56.1267317420711,185.145325936503
0.425,58.1736867763618,195.54218217054
0.43,61.5084204985006,205.993061946984
0.435,66.0170272012784,216.470017653625
0.44,71.6715746212975,226.936445202806
0.445,78.4915952984464,237.327604471452
0.45,86.5166427812002,247.541590524051
0.455,95.7827277249102,257.436156037221
0.46,106.299305283736,266.831847501403
0.465,118.026791539438,275.523986126116
0.47,130.857929129626,283.306206815513
0.475,144.609528976752,290.006367854721
0.48,159.033123890325,295.53142753934
0.485,173.852302887302,299.911959951539
0.49,188.829691631834,303.331205228743
0.495,203.857796162547,306.12084905437
0.5,219.05799395414,308.709112985835
0.505,234.867025834924,311.515924348847
0.51,252.095252954876,314.795903100853
0.515,271.945652854144,318.417312712271
0.52,295.952912180182,321.534096226496
0.525,325.696682536314,322.108629414128
0.53,361.975441293268,316.405778963635
0.535,403.131395882787,299.082792254645
