"Freq [GHz]","re(Z(1,1)) [] - antL='0.48meter'","im(Z(1,1)) [] - antL='0.48meter'"
0.855,12.8175896138908,-76.6014318984622
0.86,11.9055031531166,-57.9726613328385
0.865,11.173673043995,-41.7390014733489
0.87,10.5644918624066,-27.2138171670656
0.875,10.0456251704717,-13.9451420270633
0.88,9.59818218516817,-1.61826932205436
0.885,9.21117586680828,9.99665780431657
0.89,8.87875302013319,21.0748083562474
0.895,8.59875520537549,31.7550350291765
0.9,8.37197068238215,42.1516468148936
0.905,8.20177609359031,52.3623350991795
0.91,8.09402327731813,62.4738022206228
0.915,8.05710573973435,72.5660186291939
0.92,8.10218383182717,82.7157053999097
0.925,8.24357867180442,92.9994720611166
0.93,8.49937667021079,103.49697688831
0.935,8.89233520628674,114.294498432967
0.94,9.45127450934464,125.489421222407
0.945,10.2133451102645,137.196377939339
0.95,11.2280203172447,149.556204924364
0.955,12.5647051494603,162.749482051652
0.96,14.3281671389521,177.017057513575
0.965,16.6908421223171,192.689551044596
0.97,19.9596497572226,210.222506241228
0.975,24.7021464162651,230.213726712779
0.98,31.9273267189983,253.341291612614
0.985,43.1890095159905,280.219388713133
0.99,60.5844173098529,311.692781956597
0.995,88.670027873342,350.464266638973
1,145.016150301303,398.115860587577
