"Freq [GHz]","re(Z(1,1)) [] - antL='0.56meter'","im(Z(1,1)) []"
0.1,0.790266713360702,-179.92435753454
0.105,0.811292015917883,-166.823146923595
0.11,0.835421424468974,-154.674624917103
0.115,0.86280437166519,-143.350330867081
0.12,0.89360149262926,-132.742856168346
0.125,0.927986950655727,-122.761593833518
0.13,0.966151173850373,-113.329461630171
0.135,1.00830429366153,-104.380344593608
0.14,1.0546806794632,-95.8570748364256
0.145,1.10554512083106,-87.7098160752637
0.15,1.16120145284472,-79.894754704217
0.155,1.22200479533631,-72.3730232831581
0.16,1.28837915066164,-65.1097991321363
0.165,1.36084296541581,-58.0735322847035
0.17,1.44004652921287,-51.235264731601
0.175,1.5268269159745,-44.5680073854663
0.18,1.62228879291062,-38.0461428219383
0.185,1.72792319368025,-31.6448203189424
0.19,1.84578199871111,-25.339303759276
0.195,1.97873501796979,-19.1042195927011
0.2,2.13085303974689,-12.9126248635487
0.205,2.30799280853046,-6.73476113105885
0.21,2.5187288125316,-0.536251386870376
0.215,2.7759291445538,5.72472806029754
0.22,3.09962628684345,12.1022676343353
0.225,3.52271957632581,18.6717509993418
0.23,4.1035749062217,25.5491148616303
0.235,4.95868383068021,32.9430414161693
0.24,6.38334697162592,41.4455290544231
0.245,20.9185553413192,48.2948289759172
0.25,14.5482501251509,65.3105391423012
0.255,32.2689208538951,61.5833386383367
0.26,130.759878398155,118.675577584767
0.265,18.8313340379066,50.1979221155275
0.27,195.643595875699,61.9030365509031
0.275,21.0333817017696,47.4188752789302
0.28,53.5361185456263,67.7049959358963
0.285,80.8079036887508,65.7726003898247
0.29,25.0557119533507,30.1227928867372
0.295,11.7050984222098,53.3214369326066
0.3,8.87407817367912,67.3269387893012
0.305,8.14037273605633,78.2216191947682
0.31,8.1496897566939,87.7812425142251
0.315,8.5146024404292,96.7000759841281
0.32,9.09779091488413,105.302378918148
0.325,9.85177620561041,113.749546447056
0.33,10.767839044365,122.123207775219
0.335,11.8529105810859,130.479439174281
0.34,13.1230252539552,138.897495224971
0.345,14.6202100819313,147.512099966158
0.35,16.450089919213,156.513101459269
0.355,18.82454738559,166.120254526221
0.36,22.1082200754198,176.555737667555
0.365,26.9020935855327,188.014911284584
0.37,34.2237767931308,200.576961860583
0.375,45.8109111737139,213.855549445754
0.38,64.1337646923085,225.86539200832
0.385,89.5735919792718,230.942417916096
0.39,111.917907592856,223.319957381745
0.395,117.912353664208,212.842997509096
0.4,116.505580120472,213.471680468389
0.405,121.597659361481,223.821182945046
0.41,138.709284878693,238.824843426992
0.415,171.373293297438,255.960093935518
0.42,225.713282819068,274.360122408423
0.425,312.578331199429,293.773046082443
0.43,447.954186770953,314.099587541227
0.435,644.799354323485,335.182154986566
0.44,877.872050342969,356.658260159625
0.445,1036.84289751035,377.801733008029
0.45,1012.65206120458,397.327542793944
0.455,856.670084272195,413.187035781951
0.46,683.032150098911,422.470382411953
0.465,543.362584123823,421.665535058371
0.47,442.049796738046,407.584102915175
0.475,370.482118249576,378.960213919837
0.48,319.938727841312,337.900267779637
0.485,284.021313001367,289.762949669463
0.49,258.36527056949,240.995961857465
0.495,239.982083708822,196.384078719284
0.5,226.72257717071,157.565887729099
0.505,216.89652444631,123.176406166043
0.51,209.015222810768,89.7940247969245
0.515,201.655242183842,53.1247845717661
0.52,193.502984702576,9.79440536178832
0.525,183.651842617566,-39.61029516869
0.53,172.039035742239,-87.8589074902759
0.535,159.587750057603,-123.772022984398
0.54,147.725049448343,-140.455961615375
0.545,137.643953022692,-139.315758469769
0.55,129.954459988282,-126.145208992564
0.555,124.821974998378,-106.431156335034
0.56,122.245049324133,-84.0340240534512
0.565,122.16701348534,-61.9387386836525
0.57,124.289595133531,-42.9346814569538
0.575,127.745962552187,-28.8619241709978
0.58,131.441483592911,-19.9346482404491
0.585,134.998118483022,-17.6656299622762
0.59,137.458544954339,-26.6530039747966
0.595,135.030403370392,-46.5615696233534
0.6,124.784551408271,-62.854507995106
0.605,110.69001645662,-61.6018078507591
0.61,99.0499698507066,-45.0104420410668
0.615,92.2713421321003,-21.102239054343
0.62,89.7086270029264,4.94979482816076
0.625,90.575451921185,30.6073772325578
0.63,94.5036596286342,55.2792629877038
0.635,101.276210133909,90.2263729844242
0.64,117.516625538405,148.768924066751
0.645,155.816112797873,167.923960215465
0.65,194.292675616229,151.416786563954
0.655,237.965079355306,55.400758323956
0.66,227.546270353188,-55.6970195448993
0.665,199.12767812937,-69.2032678471872
0.67,177.014643170796,-34.0874728081384
0.675,160.551675731102,1.37889149480811
0.68,148.845532738888,37.0151580112223
0.685,145.588996507442,68.3936526924231
0.69,150.799115507686,82.6239110315471
0.695,147.475407482613,94.5121244040415
0.7,148.782530858726,82.5124893713119
0.705,121.493327406018,128.276261395636
0.71,142.127703908575,177.356568382563
0.715,221.072051347747,134.612879923546
0.72,368.255011398835,119.382466615816
0.725,359.123744099664,21.8036759907886
0.73,288.478374952766,73.3233495990776
0.735,374.603782404618,75.6974597525874
0.74,303.718697677463,-136.427343717047
0.745,179.279496979719,-104.216253978941
0.75,135.674632494464,-14.8325373343142
0.755,131.16555582511,56.5885241512958
0.76,312.044256169803,126.473851207876
0.765,138.084300163385,-82.2935507686546
0.77,134.247948839849,118.469602604843
0.775,350.28765666746,292.530023122757
0.78,555.372420369373,-211.170989433312
0.785,145.838565371995,-117.489253677683
0.79,152.087303934166,197.258005660086
0.795,988.638612240703,-669.207600023648
0.8,98.4101689187624,-331.525569186864
0.805,88.0206886522401,-142.783956644456
0.81,109.701463563549,-86.24838260321
0.815,59.3788953007828,76.6771552169126
0.82,199.335181309046,587.523109984259
0.825,152.544043274807,-694.185199967496
0.83,28.9446826912698,-328.251385128646
0.835,16.5809905388463,-220.038728192299
0.84,12.5419479100814,-163.566257473131
0.845,10.4791034782215,-126.39124852872
0.85,9.16558518237201,-98.743430963834
0.855,8.23032358214538,-76.6014318984622
0.86,7.53138114545406,-57.9726613328385
0.865,7.00851893271814,-41.7390014733489
0.87,6.63805164010689,-27.2138171670656
0.875,6.41694068140793,-13.9451420270633
0.88,6.35735825296958,-1.61826932205436
0.885,6.48604701892491,9.99665780431657
0.89,6.84679862706346,21.0748083562474
0.895,7.50601326732519,31.7550350291765
0.9,8.56241536936322,42.1516468148936
0.905,10.1633515414714,52.3623350991795
0.91,12.5323894683618,62.4738022206228
0.915,16.0173862098421,72.5660186291939
0.92,21.1774449873701,82.7157053999097
0.925,28.9475388575754,92.9994720611166
0.93,40.9670972803121,103.49697688831
0.935,60.2767986961794,114.294498432967
0.94,92.8983455723337,125.489421222407
0.945,151.657864982999,137.196377939339
0.95,265.718474578296,149.556204924364
0.955,500.363932198733,162.749482051652
0.96,938.051298020108,177.017057513575
0.965,1301.08728719948,192.689551044596
0.97,1067.40294596904,210.222506241228
0.975,703.847670927968,230.213726712779
0.98,480.699447290734,253.341291612614
0.985,360.282328351854,280.219388713133
0.99,297.502958842201,311.692781956597
0.995,269.594344523147,350.464266638973
1,263.380896489574,398.115860587577
