Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
5.2,-0.37422278451802+0.0464836602868687i,-0.300406813061323-0.137770621745418i,0.000341446835498728-1.20217522156247E-05i,0.00657395191694856+0.000110705610864117i,-0.300406813061324-0.137770621745419i,-0.379746634458506+0.247836388147437i,0.00645618212832645+0.000109164582056647i,-0.00701169994113156+0.000100342946272341i,0.000341446835498841-1.20217522156287E-05i,0.00645618212832637+0.000109164582056646i,-0.375935764929935+0.0479955981799718i,-0.298263100463537-0.137202044765321i,0.00657395191694823+0.000110705610864111i,-0.00701169994113151+0.00010034294627234i,-0.298263100463537-0.13720204476532i,-0.383714094991074+0.24908675428516i
5.3,-0.391554008376399+0.0537556441737192i,-0.220254688478656-0.121744736289689i,-0.0142759748808037+0.000345150536689117i,0.0156240194738245+9.09354544956921E-05i,-0.220254688478661-0.121744736289691i,-0.538778319355746+0.233489319842275i,0.0158637335892639+9.22275598260902E-05i,-0.0132273627701328+0.000105635192584261i,-0.014275974880804+0.000345150536689122i,0.0158637335892634+9.22275598260897E-05i,-0.394998121920843+0.0561208053572035i,-0.21600015395889-0.119576498197019i,0.0156240194738246+9.09354544957026E-05i,-0.0132273627701327+0.000105635192584255i,-0.216000153958902-0.119576498197026i,-0.544635308178036+0.232908395031796i
5.4,-0.423485320402018+0.0661147169672403i,-0.119178581841177-0.0748244812250077i,-0.0182478252210503+0.000210993386478268i,0.012138855705887-4.57056504737147E-05i,-0.119178581841182-0.0748244812250112i,-0.65869165951972+0.129107778578075i,0.0121534578454293-4.81401071045712E-05i,-0.0133796460527656+2.37675931506104E-06i,-0.0182478252210503+0.000210993386478259i,0.0121534578454291-4.81401071045638E-05i,-0.429818850051867+0.0695912851247139i,-0.112611149401131-0.0704755960151848i,0.0121388557058875-4.57056504737156E-05i,-0.0133796460527651+2.37675931505885E-06i,-0.112611149401143-0.070475596015194i,-0.664950873963076+0.12417583002054i
5.5,-0.477533540363195+0.0833783416247655i,0.000431361225038842+0.000281799974088385i,-0.0166783816072922+4.05756057528477E-05i,0.00707899925303283-4.89539054152917E-05i,0.000431361225036283+0.000281799974086717i,-0.683162492254436-0.0426017802147212i,0.00701488990647922-4.8732585601638E-05i,-0.00992033857065902-4.2749826474387E-05i,-0.0166783816072918+4.05756057528448E-05i,0.00701488990647934-4.8732585601636E-05i,-0.488333927459709+0.0879298210664534i,0.00937417083755404+0.00604111714104971i,0.00707899925303317-4.89539054152956E-05i,-0.00992033857065859-4.27498264743826E-05i,0.00937417083755014+0.0060411171410474i,-0.684863779022404-0.0527489648300589i
5.6,-0.562133478215707+0.101035204928511i,0.136104669673359+0.0806420269876392i,-0.0126840400431615-4.83188823665341E-05i,0.00304120129207549-2.34995419203015E-05i,0.136104669673359+0.0806420269876401i,-0.557832815666122-0.200309181344694i,0.00316209432285283-2.43520374232328E-05i,-0.00667255843539966-3.62718852055567E-05i,-0.0126840400431614-4.83188823665333E-05i,0.00316209432285292-2.4352037423233E-05i,-0.578921502111809+0.105188582965256i,0.146447744459096+0.0839383640747445i,0.00304120129207559-2.34995419203031E-05i,-0.00667255843539957-3.62718852055556E-05i,0.146447744459097+0.0839383640747464i,-0.548216842664982-0.20912870326249i
5.7,-0.68143159357585+0.100576563520025i,0.270119918951411+0.116740687889769i,-0.00667303245553465-4.19704536357472E-05i,-0.00136538583276361+9.18012295786849E-06i,0.270119918951413+0.116740687889771i,-0.288415189241616-0.197009849692799i,-0.00127112914077578+9.05409975887362E-06i,-0.005671814223141-2.98192086345055E-05i,-0.0066730324555345-4.19704536357469E-05i,-0.00127112914077595+9.0540997588739E-06i,-0.703683143183617+0.0991980098988178i,0.276169045768307+0.111554528059697i,-0.00136538583276356+9.18012295786823E-06i,-0.00567181422314039-2.9819208634504E-05i,0.276169045768308+0.111554528059698i,-0.268295053874682-0.190218512034758i
5.8,-0.816493392180646+0.0399600069806968i,0.335578721232096+0.0716900449381009i,-0.00276843795108067-1.30738910564161E-05i,-0.00167345778894996+3.3649559913633E-06i,0.335578721232097+0.0716900449381013i,0.0326010528124748+0.0279562436081965i,-0.0016460878831308+3.43461845010162E-06i,-0.00640477312034964-4.85892439551527E-05i,-0.00276843795108059-1.30738910564154E-05i,-0.00164608788312999+3.43461845010078E-06i,-0.837021982466027+0.0251056095995659i,0.325625904864896+0.0603239087551227i,-0.0016734577889501+3.36495599136421E-06i,-0.00640477312034873-4.85892439551394E-05i,0.325625904864896+0.0603239087551225i,0.0562569858982407+0.0483717136649827i
5.9,-0.899547466528328-0.113038563553119i,0.25860431651322+0.00580589110747496i,-0.00140945343423245-4.35036897679604E-06i,-7.54774307138843E-05+1.58590040701709E-07i,0.25860431651322+0.00580589110747492i,0.388243290070521+0.24762012221353i,-0.000262147429582447+6.08947521390456E-07i,-0.00314100917837025-3.67776296903635E-05i,-0.00140945343423247-4.35036897679608E-06i,-0.000262147429582496+6.08947521390614E-07i,-0.904643387852271-0.139579527616418i,0.23163690230328+0.00132642123639836i,-7.54774307140001E-05+1.58590040701955E-07i,-0.00314100917837075-3.67776296903672E-05i,0.231636902303278+0.00132642123639817i,0.413892219461062+0.252631081926448i
6,-0.858120462140986-0.299259671327437i,0.0863307887936757-0.00506302356373423i,-0.000822454255477921-1.58041664711793E-06i,-0.000316408028076701+7.56307801562602E-07i,0.0863307887936755-0.00506302356373416i,0.699055403719831+0.153996473246409i,-0.000579163074839672+1.40731610784187E-06i,0.00188108065905818+2.30599711175353E-05i,-0.000822454255477936-1.58041664711796E-06i,-0.000579163074839685+1.40731610784192E-06i,-0.844783043549923-0.320571495356239i,0.0571078966058084-0.0033008480857844i,-0.000316408028076747+7.56307801562706E-07i,0.00188108065905798+2.30599711175328E-05i,0.0571078966058079-0.0033008480857844i,0.707296087284608+0.13625447151159i
6.1,-0.716711431570872-0.413190079079i,-0.0722443889323244+0.00123475751353543i,-0.000601534634604944-5.11136470955119E-07i,-0.000895897093237664+1.95654412370503E-06i,-0.0722443889323242+0.00123475751353541i,0.725128776877019-0.126276050744047i,-0.00110701647373489+2.30399752552265E-06i,0.00574300488072997+6.35701800038457E-05i,-0.00060153463460493-5.11136470955106E-07i,-0.00110701647373489+2.30399752552262E-06i,-0.696970153132442-0.419860420680614i,-0.092894192631516+0.000429021220689266i,-0.000895897093237688+1.95654412370507E-06i,0.00574300488073007+6.35701800038467E-05i,-0.0928941926315132+0.000429021220689306i,0.713041466663549-0.137157212290089i
6.2,-0.552207160601101-0.428933311620759i,-0.158173891730562-0.0145612467976047i,-0.000841170071433405+2.47353207294318E-07i,-0.00150904922751736+2.31654579797483E-06i,-0.158173891730563-0.0145612467976049i,0.529089861339376-0.268545764567042i,-0.00160935715605255+2.15716635790052E-06i,0.00894769321630742+8.4278200713546E-05i,-0.000841170071433395+2.47353207294322E-07i,-0.00160935715605256+2.15716635790053E-06i,-0.535209599855521-0.42513431077413i,-0.168225512903959-0.0180932564404818i,-0.00150904922751739+2.31654579797487E-06i,0.0089476932163075+8.42782007135458E-05i,-0.168225512903956-0.0180932564404808i,0.516252308845366-0.265783485199172i
6.3,-0.40275608097735-0.377073042908182i,-0.16622983780006-0.0358536107006108i,-0.00186212493030438+2.60047827701503E-06i,-0.00192908009521722+5.18397425761731E-07i,-0.166229837800062-0.0358536107006114i,0.308166255374126-0.233166371392307i,-0.00186943352910362+1.01585199133223E-07i,0.0121532340688246+8.93175657641553E-05i,-0.00186212493030438+2.60047827701504E-06i,-0.00186943352910365+1.0158519913321E-07i,-0.390513845527572-0.369010997771948i,-0.168781831480773-0.0387454671772522i,-0.00192908009521723+5.18397425761693E-07i,0.0121532340688247+8.9317565764155E-05i,-0.168781831480773-0.0387454671772517i,0.301411899657331-0.227258278494968i
6.4,-0.271096444694465-0.28321262029138i,-0.118295801756665-0.0382313772330997i,-0.0039548169459245+6.78896870392312E-06i,-0.00133242256766975-2.36155295835416E-06i,-0.118295801756664-0.0382313772331001i,0.1304338367331-0.116931573456519i,-0.00113418039049393-2.12957845528691E-06i,0.0158530348846674+6.79055428027249E-05i,-0.00395481694592447+6.78896870392306E-06i,-0.00113418039049393-2.12957845528695E-06i,-0.262890734919897-0.274908133094709i,-0.117261582406112-0.0391341790333066i,-0.00133242256766974-2.36155295835418E-06i,0.0158530348846675+6.79055428027242E-05i,-0.117261582406111-0.0391341790333069i,0.128045241928821-0.113788912341599i
6.5,-0.15043312083465-0.161743469764424i,-0.0396873364953157-0.0156953444685082i,-0.00613459738183293+1.11942296562471E-07i,0.00150934501911086+4.37317786590436E-06i,-0.039687336495319-0.0156953444685094i,-0.0117425735780027+0.0109453531572395i,0.00171202181028286+4.96514141066137E-06i,0.0201864015897645-2.80266895223506E-05i,-0.00613459738183287+1.11942296562804E-07i,0.00171202181028284+4.96514141066126E-06i,-0.145081721103782-0.155490218203166i,-0.0376805966562659-0.0151588715716277i,0.00150934501911086+4.37317786590429E-06i,0.0201864015897645-2.80266895223526E-05i,-0.0376805966562663-0.0151588715716283i,-0.0116083111462306+0.0107343504085236i
