Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
4.9,-0.633363367705103+0.0930425799824487i,0.164957801824199-0.00418881381608428i,0.314276251633466-0.0302610065874009i,0.0647167697110069-0.0116524082123294i,0.164957801824203-0.00418881381608421i,0.329921921443972-0.0363529085106184i,0.0634639190718801-0.0117027371750942i,0.142015517494153-0.0974200401841037i,0.314276251633458-0.0302610065874034i,0.0634639190718916-0.0117027371750957i,-0.644067603903551+0.0926444772056286i,0.163497347765038-0.00285707260628772i,0.0647167697110252-0.0116524082123323i,0.142015517494171-0.097420040184114i,0.16349734776505-0.00285707260628788i,0.332676776295971-0.035024273460973i
5,-0.646283241524717+0.0275220864330313i,0.256081935257595-0.0132490833886043i,0.26493571092905-0.0413182244536882i,0.0035420406523704-0.000695848632909784i,0.256081935257595-0.0132490833886042i,0.282611363189612-0.0692251154484367i,0.00125937494323914-0.000250585805674742i,-0.0266084846662767+0.0177565518743449i,0.26493571092906-0.0413182244536885i,0.0012593749432398-0.000250585805674872i,-0.654811493753146+0.0250853451754348i,0.256244424012566-0.0114792327267822i,0.00354204065237833-0.000695848632911339i,-0.0266084846662698+0.0177565518743405i,0.256244424012574-0.011479232726783i,0.286888379002822-0.0688183905009277i
5.1,-0.617687787706065-0.0239627707379259i,0.311401508634064-0.0371804198749906i,0.217708053632875-0.0451581392643182i,-0.0587252861841483+0.0109550575135138i,0.311401508634064-0.0371804198749904i,0.195105780730426-0.0666821697213883i,-0.0611634894699949+0.0114752810200207i,-0.175608924285038+0.102492749578068i,0.217708053632925-0.0451581392643347i,-0.0611634894699962+0.0114752810200206i,-0.624432679101902-0.0274564932475767i,0.312993283679138-0.0354407010630977i,-0.0587252861841446+0.0109550575135131i,-0.175608924285036+0.102492749578067i,0.312993283679141-0.0354407010630984i,0.200668430275784-0.0677702666946683i
5.2,-0.572703459720885-0.0527305888290624i,0.326457083530471-0.0678301323978212i,0.167238032138539-0.0426602902081221i,-0.111966212204246+0.017573523309839i,0.326457083530472-0.0678301323978206i,0.0939420870829353-0.0368151568228199i,-0.114208583359914+0.0179246775313327i,-0.314236924122567+0.14559103410988i,0.167238032138591-0.0426602902081409i,-0.114208583359912+0.0179246775313323i,-0.577763397938154-0.0567000234292029i,0.329281920700342-0.0666764441928981i,-0.111966212204246+0.0175735233098392i,-0.314236924122565+0.145591034109878i,0.329281920700344-0.066676444192899i,0.100101863699844-0.0390193975241349i
5.3,-0.530135453241776-0.0637765806402184i,0.302208630255547-0.091999644927085i,0.107862647496651-0.0327515061924716i,-0.153684088043765+0.0178364702251087i,0.302208630255548-0.0919996449270857i,-0.00803019728925037+0.00314122471586231i,-0.155474189799281+0.0179193153457583i,-0.439710723178182+0.140170902267056i,0.107862647496619-0.0327515061924621i,-0.155474189799283+0.0179193153457589i,-0.533366636378902-0.0677527719240519i,0.305809239280833-0.0918368847849723i,-0.153684088043766+0.0178364702251087i,-0.439710723178181+0.140170902267054i,0.305809239280831-0.0918368847849717i,-0.00179245641093707+0.000701541772864392i
5.4,-0.500789962517329-0.0660982437758128i,0.24282483011712-0.0963118509771359i,0.0333216376811684-0.0114459948147341i,-0.185508959275519+0.0126165348188335i,0.242824830117119-0.096311850977136i,-0.101872870246167+0.0346383937259913i,-0.186589439969289+0.0124516027174718i,-0.537914379788158+0.0826426981751219i,0.0333216376811677-0.0114459948147339i,-0.186589439969294+0.0124516027174721i,-0.50206722780996-0.0696797554973589i,0.246548884114454-0.0971525265103958i,-0.185508959275517+0.0126165348188329i,-0.537914379788157+0.0826426981751205i,0.246548884114447-0.0971525265103923i,-0.0960104656921774+0.0328662650833887i
5.5,-0.488334347837556-0.0676272639075881i,0.156433137756635-0.0727047456811877i,-0.0577823453951172+0.0210620424708629i,-0.209087871509101+0.00234164262240083i,0.156433137756632-0.0727047456811863i,-0.17251340639285+0.0421786102196243i,-0.209334745815171+0.00207597417691062i,-0.582320116343938-0.0200800179407193i,-0.0577823453951169+0.0210620424708633i,-0.209334745815173+0.0020759741769101i,-0.487814355181229-0.0704973090589061i,0.15963872560779-0.074067066739491i,-0.209087871509097+0.00234164262240172i,-0.582320116343935-0.0200800179407206i,0.159638725607784-0.0740670667394867i,-0.167673716287533+0.0416162087169139i
5.6,-0.490130850857233-0.074378420075815i,0.0557070281770303-0.0268651084154384i,-0.164997599546992+0.0580309429602842i,-0.220060882411453-0.0135099407339978i,0.0557070281770288-0.0268651084154376i,-0.191172522684211+0.022872819103908i,-0.219738550144444-0.0136615977855746i,-0.539054249879441-0.134703372668157i,-0.164997599546994+0.0580309429602852i,-0.219738550144445-0.0136615977855747i,-0.488447105880617-0.0762917488991104i,0.0578968175615386-0.0279651129185554i,-0.220060882411453-0.0135099407339972i,-0.53905424987944-0.134703372668157i,0.0578968175615381-0.0279651129185548i,-0.187937504086682+0.0232455893644028i
5.7,-0.496162189010765-0.0904274037329474i,-0.0400515888014435+0.0173004938972463i,-0.282329692908468+0.082235499871015i,-0.199743426656133-0.0308874661220714i,-0.0400515888014445+0.0173004938972468i,-0.12361757480266-4.83646247309143E-05i,-0.199505768875238-0.0308723442343222i,-0.393364389554395-0.19022788997632i,-0.282329692908467+0.0822354998710142i,-0.199505768875239-0.030872344234323i,-0.494486016581277-0.0913121552552215i,-0.0393102162069784+0.0170322332370964i,-0.199743426656121-0.0308874661220693i,-0.393364389554396-0.190227889976323i,-0.0393102162069837+0.0170322332370991i,-0.12170032009201+0.000378898064369488i
5.8,-0.487890487187734-0.113537382627007i,-0.101265116380617+0.0335553846973786i,-0.391852050591418+0.0698719268382061i,-0.124148010577846-0.0309079572570211i,-0.10126511638062+0.0335553846973798i,0.0297750259675599+0.00148589807931471i,-0.124607062446975-0.0310054845473793i,-0.184716153703544-0.123842578598634i,-0.391852050591417+0.0698719268382058i,-0.124607062446972-0.0310054845473784i,-0.487625898566236-0.113853385015291i,-0.102149869337819+0.0338813489877519i,-0.124148010577844-0.0309079572570192i,-0.184716153703544-0.123842578598635i,-0.102149869337829+0.0338813489877552i,0.0312935879037463+0.00147859364930298i
5.9,-0.450050154201109-0.127762940856969i,-0.103703630543601+0.0237067013631316i,-0.457370767985306+0.00944394378682421i,0.0010614723420064+0.000309353803281047i,-0.103703630543601+0.0237067013631325i,0.196674840577734-0.00688459964613471i,-1.90433106756823E-05-5.56364974142119E-06i,0.0244261267160137+0.0170041225328643i,-0.45737076798531+0.00944394378682275i,-1.90433106739251E-05-5.56364974090786E-06i,-0.451938994464808-0.128608481295727i,-0.105223725744579+0.023866715403303i,0.0010614723420241+0.000309353803286211i,0.0244261267160082+0.0170041225328605i,-0.10522372574458+0.0238667154033057i,0.198787745531615-0.00738377757100221i
6,-0.401929713360722-0.119860896488381i,-0.0556498848541849+0.00888737924561372i,-0.43668189160472-0.070460470187056i,0.127811333193332+0.0302792804568924i,-0.0556498848541962+0.00888737924561572i,0.256470923175652-0.0607955898018991i,0.127136883375948+0.0303840452615825i,0.20592387050085+0.118534058244807i,-0.436681891604719-0.0704604701870598i,0.127136883375953+0.0303840452615835i,-0.405237069303212-0.121945778653329i,-0.0561180468267315+0.00875788005077999i,0.127811333193345+0.0302792804568927i,0.205923870500848+0.118534058244808i,-0.0561180468267623+0.00875788005078492i,0.258661348799273-0.0621103206139711i
6.1,-0.388430496949813-0.108972140615079i,0.0240652802939398-0.00341702331072065i,-0.323567131876807-0.106262234738427i,0.185870948933764+0.0233620316572497i,0.0240652802939438-0.00341702331072137i,0.160670716879368-0.074216336195666i,0.18688187340641+0.0239466636235202i,0.354844200458605+0.144936064547762i,-0.323567131876811-0.106262234738426i,0.18688187340641+0.0239466636235215i,-0.391258285169274-0.111955835863579i,0.0257105773928009-0.00354503570336487i,0.185870948933775+0.0233620316572536i,0.354844200458607+0.144936064547762i,0.0257105773928059-0.00354503570336606i,0.162066060400438-0.0753936559536963i
6.2,-0.410086346055451-0.118121472329628i,0.0975126061018015-0.0187954081287671i,-0.168268093442293-0.0710327650265301i,0.172130465245457+0.0071458555388326i,0.097512606101795-0.0187954081287668i,-0.00678926825984969+0.00399650245415115i,0.174692095463746+0.00746526202389672i,0.460732765516921+0.105337660625824i,-0.168268093442311-0.0710327650265383i,0.17469209546376+0.00746526202389775i,-0.410882451508578-0.121431198449133i,0.100592310937036-0.0190464680782334i,0.172130465245493+0.00714585553883306i,0.460732765516915+0.105337660625822i,0.100592310937012-0.0190464680782307i,-0.00462764798582424+0.00273814882718715i
6.3,-0.41902052250861-0.143677349058181i,0.11869679438967-0.034970286896253i,-0.0296732588817647-0.0124607821768647i,0.141452837499589+0.000544530602202892i,0.118696794389676-0.0349702868962548i,-0.17076815648185+0.097089248082417i,0.144163657853862+0.000475368493588196i,0.499979985227472+0.0256393617025126i,-0.0296732588817596-0.0124607821768623i,0.144163657853857+0.000475368493588515i,-0.417674261752073-0.146625841240724i,0.122502961163309-0.0357468214287694i,0.14145283749959+0.000544530602204127i,0.49997998522747+0.0256393617025116i,0.122502961163318-0.0357468214287719i,-0.167882315570985+0.0960524847630924i
6.4,-0.391552136527929-0.162223658832474i,0.0775256699673927-0.0314810827793367i,0.0696070099428716+0.0258337005551663i,0.126527670433494-0.00116223474279198i,0.0775256699674087-0.0314810827793443i,-0.309265723357551+0.14134525938221i,0.128376175712381-0.00141064923508728i,0.470682673525407-0.0518529251940409i,0.0696070099428401+0.0258337005551495i,0.12837617571238-0.00141064923508291i,-0.388760067359121-0.164321975288222i,0.0819512034757234-0.0330859912870404i,0.126527670433536-0.00116223474278445i,0.470682673525402-0.0518529251940447i,0.0819512034757428-0.0330859912870508i,-0.305204315825048+0.140698106896424i
6.5,-0.343767992539117-0.161811890511974i,-0.00406507337080456+0.00197728953454229i,0.14753652025849+0.0471619989337708i,0.132249020650001-0.00367944792284886i,-0.00406507337079842+0.00197728953453935i,-0.409305344657198+0.126423380326669i,0.132944490380927-0.00402499423304578i,0.39477155540152-0.0989252819062593i,0.147536520258488+0.0471619989337699i,0.132944490380925-0.00402499423304566i,-0.339908399690699-0.162929387406804i,0.00108419104465196-0.000525736189476683i,0.132249020650005-0.00367944792285012i,0.394771555401516-0.0989252819062572i,0.00108419104465053-0.00052573618947599i,-0.404627709796047+0.128250583504031i
