Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
5.1,-0.507569396113265+0.00977091487324507i,0.185626045192522+0.0620190095012942i,-0.0822407150755926-0.0363265340081601i,-0.233929334441585-0.0142702405768988i,0.185626045192522+0.0620190095012962i,-0.501458255826021+0.00404552319688793i,-0.233643177981024-0.0147111068225677i,-0.0936175783114971-0.0414729588284085i,-0.0822407150755989-0.0363265340081624i,-0.23364317798102-0.0147111068225669i,-0.104528297511462+0.000693829670185868i,0.584704627100813-0.0991805077259087i,-0.233929334441579-0.0142702405768979i,-0.0936175783114873-0.0414729588284039i,0.58470462710082-0.0991805077259112i,-0.0976248025017199+0.001390659544627i
5.2,-0.534957904231889+0.00656057863929557i,0.312625548912913+0.0770825514896583i,0.0150372479256002+0.0049360935378154i,-0.192142788514912-0.0317198949214781i,0.312625548912913+0.0770825514896585i,-0.522581015370644+0.00145752594514311i,-0.190351787727167-0.0315841902788595i,0.00390804939092922+0.00131294922427413i,0.0150372479256001+0.00493609353781537i,-0.190351787727167-0.03158419027886i,0.0402894130701089+0.00317402912375989i,0.446880265985822-0.193704867022498i,-0.192142788514916-0.0317198949214785i,0.00390804939092685+0.00131294922427334i,0.446880265985823-0.193704867022498i,0.042968947285925+0.00294903974766804i
5.3,-0.563759603413279-0.0172879029921804i,0.397196124351059+0.0398496844020151i,0.0212540661113977+0.00410052362207171i,-0.0973552151146161-0.0232729448251371i,0.397196124351058+0.0398496844020151i,-0.546750917483302-0.0190732793539676i,-0.0956964622378687-0.0227492885122789i,0.0131957850605016+0.002704095308362i,0.0212540661113968+0.00410052362207148i,-0.0956964622378639-0.022749288512278i,0.211498312455477+0.00599954137274199i,0.226326059559003-0.145365669911935i,-0.0973552151146134-0.0232729448251368i,0.0131957850605057+0.00270409530836289i,0.226326059559005-0.145365669911936i,0.20970552274693+0.00370683352153838i
5.4,-0.563539967651375-0.0499861065309498i,0.401393786182917-0.0228803942307259i,-0.0502061924505681-0.00577362579919889i,0.0131841424029676+0.00324460305863829i,0.401393786182916-0.0228803942307276i,-0.545513692567473-0.0471272126020771i,0.0133317125757811+0.00324463737779845i,-0.053631762871721-0.00692927330656202i,-0.0502061924505657-0.00577362579919863i,0.0133317125757818+0.00324463737779858i,0.299056302569843-0.0388776759293981i,0.0129393080707155-0.00901186814360448i,0.0131841424029643+0.00324460305863747i,-0.0536317628717213-0.00692927330656195i,0.0129393080707128-0.0090118681436026i,0.292477840194081-0.040971759315856i
5.5,-0.543227899783681-0.0735369362435293i,0.339209962798749-0.0654840122368242i,-0.14072500370638-0.015762651038274i,0.0984056590191354+0.019440271127522i,0.339209962798744-0.0654840122368229i,-0.52708022492198-0.066961589127009i,0.0964690452621026+0.0188021381713654i,-0.139392512365328-0.0176990484379264i,-0.140725003706377-0.0157626510382733i,0.0964690452621051+0.0188021381713659i,0.259573095531733-0.081509231019579i,-0.177512675536699+0.107470333539277i,0.0984056590191371+0.0194402711275227i,-0.139392512365326-0.0176990484379264i,-0.177512675536702+0.107470333539278i,0.249058742235489-0.080341797752217i
5.6,-0.523281872206122-0.0882261622202193i,0.242550451814281-0.0715611130601298i,-0.20827096131888-0.0350166165828075i,0.143514814550342+0.0189858065180237i,0.242550451814278-0.0715611130601284i,-0.510654174031183-0.0793619060860969i,0.139610490995053+0.0183180485343579i,-0.202415100756433-0.0370401233385265i,-0.20827096131888-0.0350166165828085i,0.139610490995047+0.0183180485343574i,0.140674618857124-0.0636263780523722i,-0.344799214270652+0.152133270242001i,0.143514814550332+0.0189858065180218i,-0.202415100756431-0.0370401233385233i,-0.344799214270651+0.152133270242001i,0.127616441810039-0.058392078511189i
5.7,-0.509026466019284-0.102157438435231i,0.135231074543741-0.0482816923666002i,-0.230433255300808-0.0604947792032497i,0.160265313042597+0.0123416458510878i,0.135231074543741-0.0482816923666007i,-0.50069065178703-0.0921132653056633i,0.155470481762096+0.0122243983946163i,-0.220387471625769-0.0610175190226794i,-0.230433255300798-0.0604947792032483i,0.155470481762097+0.0122243983946184i,0.00193877456422265-0.000972011769858904i,-0.470982286323665+0.119581739709365i,0.160265313042587+0.0123416458510889i,-0.220387471625789-0.0610175190226816i,-0.47098228632367+0.11958173970937i,-0.0133537548177495+0.006683993369449i
5.8,-0.49256251298023-0.117347567279618i,0.0303055743896263-0.0115447512708132i,-0.19971390144544-0.0742828044384684i,0.168846703829614+0.0057427864019149i,0.0303055743896255-0.0115447512708129i,-0.488724010060431-0.106924266338045i,0.164933918597806+0.0063817799694185i,-0.185837634484912-0.0715832906599679i,-0.199713901445437-0.0742828044384666i,0.164933918597812+0.00638177996941916i,-0.128876277974785+0.0590859339283407i,-0.534244704755774+0.0341647748250837i,0.168846703829615+0.00574278640191597i,-0.18583763448492-0.0715832906599718i,-0.534244704755777+0.0341647748250836i,-0.14630148242638+0.0657078552172158i
5.9,-0.468838777936139-0.129914022620555i,-0.0701842610321404+0.0263897024737803i,-0.125151798154684-0.0586498635134626i,0.179714669089438-0.00151690837299289i,-0.0701842610321406+0.0263897024737805i,-0.469967937326637-0.119893539147776i,0.178513749304319-0.00022291640761977i,-0.107675880283372-0.0515628564350442i,-0.125151798154683-0.0586498635134641i,0.178513749304314-0.000222916407618632i,-0.236465033819289+0.0821581338313275i,-0.524297312951384-0.0671853694466698i,0.179714669089431-0.00151690837299259i,-0.107675880283374-0.0515628564350425i,-0.524297312951374-0.0671853694466662i,-0.253817314668852+0.0834736998249401i
6,-0.439791863690581-0.137302307486922i,-0.172694451254491+0.0600240485128963i,-0.0228228629916519-0.0118863259503362i,0.189359334647793-0.0124665786636944i,-0.172694451254495+0.060024048512898i,-0.446963737440996-0.128741879741593i,0.192642484123856-0.0110816812721717i,-0.0017258581405517-0.000904166550196804i,-0.0228228629916428-0.0118863259503316i,0.192642484123861-0.0110816812721696i,-0.292158895113228+0.0568193105531877i,-0.436674976452418-0.145069846106952i,0.189359334647785-0.0124665786636925i,-0.00172585814056551-0.000904166550204i,-0.436674976452414-0.145069846106943i,-0.303205307610613+0.0508950706076269i
6.1,-0.408318750526283-0.139821359619125i,-0.28548423420186+0.0821951818059674i,0.0903067556461079+0.0448680470805176i,0.177339282234422-0.0265988044894718i,-0.285484234201867+0.0821951818059669i,-0.423345023027604-0.134293115069508i,0.186214548976916-0.0267186096753583i,0.114736903575674+0.0558941692386843i,0.0903067556460962+0.0448680470805123i,0.186214548976917-0.0267186096753577i,-0.246688492677579+0.0082884695694205i,-0.269682422115728-0.146577096235765i,0.177339282234416-0.0265988044894705i,0.114736903575682+0.0558941692386853i,-0.269682422115734-0.146577096235768i,-0.242799051335357+0.000649787290644042i
6.2,-0.374089274233504-0.138323412616329i,-0.405063042438474+0.0716102261973761i,0.185001465490232+0.0728696507657027i,0.108338574040914-0.0272736146626111i,-0.405063042438471+0.0716102261973704i,-0.399558604502719-0.138952526613993i,0.121020357405089-0.0304896625168665i,0.207718884794564+0.0766577790751942i,0.185001465490222+0.0728696507657045i,0.121020357405087-0.0304896625168641i,-0.0753997522059124-0.00451907276576374i,-0.0470755316597807-0.0317789225412488i,0.108338574040904-0.0272736146626076i,0.207718884794561+0.076657779075182i,-0.0470755316597655-0.0317789225412396i,-0.0538875771589866-0.00457112376444825i
6.3,-0.326435393750136-0.129249543660634i,-0.487542649938344-0.00164387179303916i,0.218080417620415+0.0567847323676649i,-0.0371107039254074+0.0112880572534412i,-0.487542649938351-0.00164387179304006i,-0.350831902596256-0.137227999631077i,-0.0264220567277741+0.00833040710352869i,0.226966336565131+0.0517115729210026i,0.2180804176204+0.0567847323676582i,-0.0264220567277684+0.00833040710352695i,0.1425037709159-0.00332215968997272i,0.183715155742498+0.108006958367492i,-0.0371107039254078+0.0112880572534415i,0.226966336565156+0.051711572921009i,0.183715155742479+0.108006958367481i,0.171741065590736-0.00311111093305017i
6.4,-0.257477573504998-0.0854370822539037i,-0.444496426082209-0.104729171430197i,0.17293997080739+0.0269597676197108i,-0.191771684270571+0.0406342907946505i,-0.444496426082227-0.104729171430217i,-0.319756642986274-0.107091829057121i,-0.190876646688142+0.0434719306858139i,0.163409694034953+0.021243159300976i,0.172939970807296+0.0269597676196969i,-0.190876646688162+0.0434719306858174i,0.215467293843734-0.062024276840284i,0.354004408102615+0.131856328601884i,-0.191771684270599+0.0406342907946573i,0.163409694035074+0.0212431593009814i,0.354004408102507+0.131856328601876i,0.231545826897795-0.0695096378071035i
6.5,-0.321157085757328-0.10008703145996i,-0.264964214876274-0.115784149230813i,0.0730223476520845+0.00832327699152251i,-0.227688383711343+0.012575019612158i,-0.264964214876274-0.115784149230812i,-0.328182538771231-0.109263271395071i,-0.236200690980992+0.0151831982131006i,0.056845842611149+0.00597992925140114i,0.0730223476520833+0.00832327699152222i,-0.236200690980996+0.0151831982131002i,0.063053277178316-0.0363140130922443i,0.421331954970255+0.0820398669390334i,-0.227688383711345+0.0125750196121575i,0.0568458426111475+0.0059799292514012i,0.421331954970255+0.0820398669390333i,0.0643402133809297-0.0378539422597574i
