"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.02meter'","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.125meter'","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.25meter'","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antw='0.5meter'"
250,0.595302475856194,0.629869682247594,0.680134475936373,0.628125227506898
251,0.622031099921655,0.619127636841679,0.823252610159774,0.627721372905049
252,0.648744318550657,0.711494730735466,0.865114975288793,0.706720292715907
253,0.674419004619968,0.801310248398037,0.87584914264988,0.742101908898447
254,0.698102934894329,0.847270499059833,0.881801059945555,0.750437532541339
255,0.719084006236363,0.877064350028451,0.886949539480455,0.746149681049478
256,0.736993747470982,0.900383939455491,0.892782381986885,0.731886414950587
257,0.751815067167136,0.918140434548924,0.901435311769769,0.701594945590974
258,0.763808402133926,0.926219414750421,0.918503500304354,0.666815346663154
259,0.773398167826562,0.89031078373366,0.950356909593557,0.762645187804275
260,0.781060840599127,0.308194992337415,0.586285103871357,0.819665838495601
261,0.787237157666465,0.618566323844068,0.761019908427459,1.22979529092779
262,0.792269410201033,0.780958614603102,0.783636414358001,0.732088310588062
263,0.79634773363544,0.828182166254186,0.79544042614883,0.741866551969699
264,0.79943170674245,0.855664757672867,0.819655878805946,0.742530838230158
265,0.801075586240253,0.877856043403591,0.835412020382329,0.737147345575832
266,0.799968408327468,0.873248762694434,0.845547390047118,0.722069470260124
267,0.792601781084038,0.873120069052326,0.851926626843678,0.695505716740882
268,0.769129625106083,0.860142449177976,0.843572179639225,0.687640581005537
269,0.70275813551003,0.817769437434078,0.764278206952983,0.708091410308692
270,0.581769956508196,0.727009023322682,0.543512587470589,0.727473949003149
271,0.613097775031389,0.637542432259258,0.52385009385417,0.740738328435885
272,0.725824496928335,0.658460972936383,0.63911806525063,0.753135405268634
273,0.7921184221112,0.731432692926496,0.724898672613496,0.765545190951554
274,0.831587008438543,0.79168402280936,0.783730064955409,0.772268619887939
275,0.859559587662996,0.83379588640908,0.824272802644714,0.748100152019145
276,0.881619718227633,0.863500670115478,0.851467751168549,0.698672447741571
277,0.898711644421889,0.885022575274099,0.868912892190586,0.707166773439894
278,0.909252896475855,0.900406660485886,0.879003891898981,0.719121164762742
279,0.910742192333806,0.91005616461646,0.882299415074579,0.713373978921942
280,0.902020656287368,0.913199488152219,0.877304643067727,0.698694574166486
281,0.885027251202553,0.908631228818026,0.862000944225908,0.685155354239566
282,0.864041489959923,0.896074578841689,0.837802376181802,0.676178418717675
283,0.843149156935732,0.877493451306445,0.811368354907908,0.671007827891848
284,0.824614537941221,0.856729075868042,0.78950814482651,0.668081227163818
285,0.808964524057366,0.837396799897467,0.774339365942534,0.666204226900478
286,0.795768467036508,0.821278683889111,0.764472285167991,0.664635847061854
287,0.784274356722723,0.80842517415814,0.757792624789311,0.662944618744872
288,0.773729447298263,0.798055446629806,0.752678220805426,0.660882453862986
289,0.763490716159647,0.789252800692439,0.748107875468374,0.658306139048455
290,0.753038985329439,0.781254109462941,0.743478443302486,0.65513297649342
291,0.741960528770406,0.773497535940046,0.738435399757364,0.651316423876948
292,0.729923460181691,0.765582548895938,0.73276545290691,0.646832733583381
293,0.716658199917526,0.757215648187944,0.726336204282897,0.641673520947972
294,0.701944042131432,0.748165687692607,0.719063877410143,0.635841508594802
295,0.685601380373289,0.738232985952018,0.710896489256751,0.629347964047342
296,0.66748854379401,0.727231049638806,0.70180523406988,0.622211031251512
