"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antL='0.4meter' antw='0.02meter'","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antL='0.48meter' antw='0.02meter'","mag(St(Rectangle3_T1,Rectangle3_T1)) [] - antL='0.56meter' antw='0.02meter'"
250,0.566385697517222,0.595302475856194,0.732032170359606
251,0.574283608102613,0.622031099921655,0.741924693585397
252,0.586836336746037,0.648744318550657,0.752146754337868
253,0.6047508270408,0.674419004619968,0.76274850420776
254,0.628497308489118,0.698102934894329,0.77378661144168
255,0.65825365303604,0.719084006236363,0.785323691856941
256,0.692605497595293,0.736993747470982,0.797426074657951
257,0.717372478212488,0.751815067167136,0.810158176653124
258,0.616352996716218,0.763808402133926,0.823570093731284
259,0.0961398843875299,0.773398167826562,0.837671717606631
260,0.314310262641112,0.781060840599127,0.852380149211759
261,0.487941414630454,0.787237157666465,0.867414504247997
262,0.57969216461589,0.792269410201033,0.882089282630788
263,0.640418733341541,0.79634773363544,0.894924246800051
264,0.686407855625567,0.79943170674245,0.902979069010365
265,0.723525274020054,0.801075586240253,0.901014848009222
266,0.753322925973805,0.799968408327468,0.881528169638971
267,0.774101774455692,0.792601781084038,0.838780862864066
268,0.779156838459856,0.769129625106083,0.779085725117249
269,0.751019965631401,0.70275813551003,0.726796221511309
270,0.652663834555559,0.581769956508196,0.709772176054872
271,0.461672973270192,0.613097775031389,0.741603466565557
272,0.372213447380851,0.725824496928335,0.813908433528334
273,0.515051068977623,0.7921184221112,0.847746230983951
274,0.658272118069206,0.831587008438543,0.834660128890586
275,0.753915710579961,0.859559587662996,0.846277003137308
276,0.814048317106854,0.881619718227633,0.874531687485676
277,0.847830344129346,0.898711644421889,0.903392138132591
278,0.858546634499099,0.909252896475855,0.922754444372354
279,0.849404388443931,0.910742192333806,0.927555303848774
280,0.84742983140518,0.902020656287368,0.918124007365448
281,0.855938018460947,0.885027251202553,0.898761155713237
282,0.848431419403486,0.864041489959923,0.874695413276371
283,0.834291234315863,0.843149156935732,0.849832393292697
284,0.820299792890537,0.824614537941221,0.826217747442092
285,0.808692713273328,0.808964524057366,0.804486412234836
286,0.799858295493141,0.795768467036508,0.784475363340367
287,0.793455700742067,0.784274356722723,0.765666065798189
288,0.788907680769742,0.773729447298263,0.747434242649798
289,0.785623639759835,0.763490716159647,0.729173185407844
290,0.783088532606927,0.753038985329439,0.710352177391601
291,0.780886267400072,0.741960528770406,0.690548932448241
292,0.778694502721333,0.729923460181691,0.669476820395871
293,0.776269498439088,0.716658199917526,0.647016035215129
294,0.773429543575818,0.701944042131432,0.623250108417055
295,0.770040294922026,0.685601380373289,0.598502889180469
296,0.766002936018448,0.66748854379401,0.573365220475919
297,0.76124505856017,0.647502194713522,0.548695430633457
298,0.755713829472777,0.625580371846539,0.525575395941382
299,0.749370956184261,0.60170738536049,0.505207802986953
300,0.742189019356704,0.575919860069335,0.488754442939937
301,0.734148826953124,0.548313309682271,0.477141034684336
302,0.725237524405567,0.519048753413627,0.470882574370318
303,0.715447262707847,0.488359102872779,0.469993320277991
304,0.704774278242273,0.456555385552072,0.47401827982664
305,0.693218277000184,0.424033331944687,0.482168455502524
306,0.680782044260863,0.391281365807311,0.493499184279767
307,0.667471221269219,0.358891375847842,0.507068479016832
308,0.653294205065684,0.327573244159563,0.522041234232142
309,0.638262137968962,0.298171690327883,0.537737036445002
310,0.62238896049149,0.271677176757971,0.55363670866345
311,0.605691506565667,0.249208628689526,0.569365687719822
312,0.588189623530827,0.231927048915171,0.584668112219782
313,0.569906301863399,0.220838025851072,0.599379951943326
314,0.550867801490703,0.216503368373936,0.613405196247163
315,0.531103762990483,0.218806913654759,0.626696465128525
316,0.510647293258054,0.226960416726142,0.639240032257439
317,0.489535016487426,0.239764122751465,0.651044666532776
318,0.467807082692397,0.255936860381114,0.662133539798949
319,0.445507127590999,0.274341870062647,0.672538486709191
320,0.422682179575574,0.294073535779153,0.682296015021039
321,0.399382511768918,0.314454597008771,0.691444590577956
322,0.375661439918202,0.334997415702052,0.700022835165957
323,0.351575070253246,0.355359659322167,0.708068369033831
324,0.32718200572188,0.375306130427626,0.715617102772617
325,0.302543024796824,0.394679222844355,0.722702838207366
326,0.277720755544395,0.413377087496997,0.729357078497471
327,0.252779381454733,0.4313377996963,0.7356089771108
328,0.227784440392245,0.448527943959442,0.741485376528847
329,0.202802827226184,0.464934378595676,0.747010902657835
330,0.17790321711575,0.480558274682041,0.752208091635654
331,0.153157378333385,0.495410784524816,0.757097533276413
332,0.128643503879823,0.509509883921982,0.76169802068845
333,0.104454653117789,0.522878065831501,0.766026699291854
334,0.0807222576310417,0.53554065598574,0.770099211017469
335,0.0576947114660201,0.547524585815947,0.773929831225637
336,0.0360935692552455,0.558857503533244,0.777531597078123
337,0.0195998231419188,0.569567136405135,0.780916426899499
338,0.0226198226444837,0.579680840280525,0.784095230594479
339,0.0402259304566326,0.589225289034578,0.787078011529691
340,0.0602643070099361,0.598226268724714,0.789873960501712
341,0.0804825633723131,0.606708550167561,0.792491542539718
342,0.100387483982229,0.614695820265573,0.794938577360211
343,0.119807365113661,0.622210657361125,0.797222314323312
344,0.138662161432229,0.62927453962225,0.799349502749314
345,0.156907266182322,0.635907878287447,0.801326458450005
346,0.174515252618024,0.642130069748619,0.803159127318187
347,0.191468661203511,0.647959562099839,0.804853146804593
348,0.207756689192183,0.653413933048789,0.806413906096265
349,0.223373468409348,0.658509977068359,0.807846605794826
350,0.238317065800696,0.663263800425178,0.809156317876338
351,0.252588846606552,0.667690923307713,0.810348046694622
352,0.266193037765348,0.671806388723917,0.81142679176364
353,0.279136413862124,0.675624878169899,0.812397613017372
354,0.291428066948541,0.679160834300632,0.813265699191008
355,0.303079240596779,0.682428590966334,0.814036439887337
356,0.314103218267517,0.685442511011933,0.814715501776535
357,0.324515261187257,0.6882171321624,0.815308909213554
358,0.334332593638818,0.690767321117238,0.815823129329878
359,0.34357443492838,0.693108435630434,0.816265161347766
360,0.352262077812112,0.695256493827809,0.816642629455486
361,0.360419013072706,0.697228349278337,0.816963878050068
362,0.368071099302708,0.699041869352325,0.817238067478852
363,0.375246775755454,0.70071611313138,0.817475267574106
364,0.381977314283979,0.702271503554017,0.817686545264871
365,0.388297103784487,0.703729986573841,0.817884041367684
366,0.394243957058856,0.705115167889781,0.818081030323915
367,0.399859425485636,0.706452415341164,0.818291955216511
368,0.405189101264964,0.70776891246913,0.81853242895396
369,0.410282880305189,0.709093646242574,0.818819191197185
370,0.415195151246623,0.710457309849105,0.819170009629724
371,0.419984868130431,0.71189210019812,0.819603513802183
372,0.424715456634564,0.713431389927587,0.820138950345928
373,0.429454497867979,0.715109255890167,0.820795850211475
