"Freq [MHz]","mag(St(Rectangle3_T1,Rectangle3_T1)) []"
100,0.999532260505285
100.5,0.999528569512339
101,0.99952449088313
101.5,0.999520016752657
102,0.999515139117701
102.5,0.999509849833291
103,0.999504140609062
103.5,0.999498003005493
104,0.99949142843004
104.5,0.999484408133141
105,0.999476933204094
105.5,0.99946899456682
106,0.999460582975473
106.5,0.999451689009931
107,0.999442303071135
107.5,0.999432415376283
108,0.999422015953872
108.5,0.999411094638585
109,0.999399641066011
109.5,0.999387644667201
110,0.999375094663045
110.5,0.999361980058477
111,0.999348289636485
111.5,0.999334011951931
112,0.999319135325172
112.5,0.999303647835477
113,0.999287537314222
113.5,0.999270791337869
114,0.999253397220716
114.5,0.999235342007408
115,0.999216612465196
115.5,0.999197195075952
116,0.999177076027908
116.5,0.999156241207129
117,0.999134676188699
117.5,0.999112366227613
118,0.999089296249359
118.5,0.999065450840199
119,0.999040814237098
119.5,0.999015370317338
120,0.998989102587758
120.5,0.998961994173648
121,0.998934027807243
121.5,0.998905185815839
122,0.998875450109497
122.5,0.998844802168315
123,0.998813223029273
123.5,0.99878069327261
124,0.998747193007734
124.5,0.998712701858637
125,0.998677198948797
125.5,0.99864066288556
126,0.998603071743951
126.5,0.998564403049934
127,0.998524633763061
127.5,0.998483740258515
128,0.998441698308499
128.5,0.99839848306297
129,0.998354069029667
129.5,0.998308430053429
130,0.998261539294755
130.5,0.998213369207588
131,0.998163891516289
131.5,0.998113077191764
132,0.998060896426715
132.5,0.998007318609986
133,0.997952312299942
133.5,0.997895845196879
134,0.997837884114392
134.5,0.997778394949678
135,0.997717342652722
135.5,0.997654691194327
136,0.997590403532924
136.5,0.997524441580139
137,0.997456766165035
137.5,0.997387336996996
138,0.997316112627181
138.5,0.997243050408506
139,0.997168106454064
139.5,0.997091235593948
140,0.997012391330387
140.5,0.996931525791131
141,0.996848589681014
141.5,0.996763532231604
142,0.996676301148875
142.5,0.996586842558802
143,0.996495100950792
143.5,0.996401019118861
144,0.996304538100459
144.5,0.996205597112828
145,0.996104133486804
145.5,0.996000082597934
146,0.995893377794798
146.5,0.995783950324407
147,0.995671729254558
147.5,0.995556641392987
148,0.995438611203211
148.5,0.995317560716876
149,0.995193409442476
149.5,0.995066074270274
150,0.994935469373245
150.5,0.994801506103877
151,0.994664092886627
151.5,0.994523135105834
152,0.994378534988897
152.5,0.99423019148448
153,0.994078000135534
153.5,0.993921852946881
154,0.993761638247124
154.5,0.993597240544607
155,0.99342854037716
155.5,0.993255414155333
156,0.993077733998821
156.5,0.992895367565755
157,0.992708177874533
157.5,0.99251602311784
158,0.99231875646849
158.5,0.992116225876702
159,0.991908273858413
159.5,0.991694737274209
160,0.991475447098418
160.5,0.991250228177916
161,0.991018898980158
161.5,0.990781271329911
162,0.990537150134183
162.5,0.990286333094757
163,0.990028610407775
163.5,0.989763764449744
164,0.989491569449325
164.5,0.989211791144244
165,0.988924186422615
165.5,0.988628502947948
166,0.988324478767075
166.5,0.988011841900201
167,0.987690309912239
167.5,0.987359589464561
168,0.987019375846262
168.5,0.98666935248399
169,0.986309190429356
169.5,0.985938547822913
170,0.985557069333618
170.5,0.985164385572705
171,0.984760112480798
171.5,0.984343850687103
172,0.983915184839434
172.5,0.983473682903826
173,0.983018895432431
173.5,0.982550354798353
174,0.982067574396051
174.5,0.981570047805909
175,0.981057247921547
175.5,0.980528626038391
176,0.979983610902057
176.5,0.979421607715044
177,0.978841997100241
177.5,0.978244134019769
178,0.977627346647682
178.5,0.976990935195069
179,0.976334170686179
179.5,0.975656293684192
180,0.974956512965405
180.5,0.974234004140647
181,0.973487908222903
181.5,0.972717330140271
182,0.971921337193575
182.5,0.971098957458198
183,0.97024917812996
183.5,0.969370943815236
184,0.968463154765846
184.5,0.967524665059786
185,0.966554280729322
185.5,0.965550757838651
186,0.964512800514033
186.5,0.963439058930129
187,0.962328127257223
187.5,0.961178541575129
188,0.959988777760784
188.5,0.958757249358003
189,0.957482305439438
189.5,0.956162228472652
190,0.954795232204257
190.5,0.953379459578432
191,0.951912980708736
191.5,0.950393790925119
192,0.948819808921304
192.5,0.947188875031459
193,0.945498749669155
193.5,0.943747111966239
194,0.941931558654311
194.5,0.940049603237132
195,0.938098675508502
195.5,0.936076121476953
196,0.933979203766075
196.5,0.931805102567434
197,0.929550917231876
197.5,0.927213668594562
198,0.92479030213934
198.5,0.922277692119019
199,0.919672646759718
199.5,0.916971914689708
200,0.91417219274585
200.5,0.911270135323868
201,0.908262365451983
201.5,0.905145487780675
202,0.901916103694295
202.5,0.898570828762426
203,0.895106312759951
203.5,0.891519262494025
204,0.887806467683063
204.5,0.883964830136406
205,0.879991396482843
205.5,0.875883394690266
206,0.871638274606481
206.5,0.867253752730874
207,0.862727861396961
207.5,0.858059002504978
208,0.853246005889845
208.5,0.848288192341187
209,0.843185441206697
209.5,0.837938262406161
210,0.832547872559166
210.5,0.827016274783541
211,0.821346341552833
211.5,0.815541899809257
212,0.809607817314034
212.5,0.803550088981184
213,0.797375921686711
