f,Via(318MHz),No_via(287)
268500000,0.889388202,0.887198225
269000000,0.892786822,0.883195713
269500000,0.895987596,0.878920199
270000000,0.898999915,0.874347866
270500000,0.901833532,0.869452363
271000000,0.904498406,0.864204488
271500000,0.907004336,0.858571857
272000000,0.909360647,0.852518513
272500000,0.911575757,0.846004489
273000000,0.913656741,0.838985339
273500000,0.915609071,0.831411588
274000000,0.917436566,0.823228137
274500000,0.919141633,0.814373626
275000000,0.92072583,0.804779685
275500000,0.922190373,0.794370222
276000000,0.923536531,0.783060565
276500000,0.924765605,0.770756642
277000000,0.925878735,0.757354157
277500000,0.926876537,0.742737832
278000000,0.927758852,0.7267807
278500000,0.928524546,0.709343685
279000000,0.929171427,0.690275579
279500000,0.929696229,0.669413373
280000000,0.930094739,0.646583634
280500000,0.930362178,0.621604796
281000000,0.930494124,0.594291102
281500000,0.930488348,0.564458488
282000000,0.930348125,0.531933335
282500000,0.930087966,0.496564354
283000000,0.929742218,0.458239204
283500000,0.92937639,0.416906988
284000000,0.929097199,0.372609617
284500000,0.929051567,0.325528775
285000000,0.929399332,0.276066468
285500000,0.930252832,0.225013314
286000000,0.931607948,0.173987705
286500000,0.933321327,0.126827226
287000000,0.935164033,0.093991597
287500000,0.936913004,0.094939841
288000000,0.938414747,0.129567649
288500000,0.939596412,0.178795936
289000000,0.940443671,0.232435359
289500000,0.940971203,0.286615315
290000000,0.941199291,0.339580714
290500000,0.941140249,0.39037864
291000000,0.9407932,0.438450438
291500000,0.940141511,0.483478728
292000000,0.939148239,0.525313967
292500000,0.937748068,0.56392919
293000000,0.935834508,0.599386743
293500000,0.933240162,0.6318119
294000000,0.929708694,0.661371479
294500000,0.924869646,0.688257009
295000000,0.918291703,0.712671772
295500000,0.909956484,0.73482099
296000000,0.902152346,0.754905392
296500000,0.902312841,0.77311647
297000000,0.91553226,0.789633773
297500000,0.93190193,0.804623463
298000000,0.942520569,0.818237714
298500000,0.947676708,0.830614901
299000000,0.949615215,0.841880125
299500000,0.950096636,0.852145911
300000000,0.950111933,0.861513283
300500000,0.949343752,0.870072603
301000000,0.94822652,0.877904679
301500000,0.946884833,0.885081593
302000000,0.945362031,0.891667742
302500000,0.943671654,0.897720543
303000000,0.941811795,0.90329126
303500000,0.939770958,0.908425671
304000000,0.937530687,0.913164665
304500000,0.935066612,0.917544817
305000000,0.932348621,0.921598886
305500000,0.929340457,0.925356193
306000000,0.925998857,0.928843084
306500000,0.922272294,0.932083188
307000000,0.918099252,0.935097784
307500000,0.913405986,0.937906023
308000000,0.908103606,0.940525189
308500000,0.902084255,0.942970835
309000000,0.89521614,0.945257137
309500000,0.887336372,0.947396838
310000000,0.878241018,0.949401515
310500000,0.867701247,0.951281683
311000000,0.85550244,0.953046897
311500000,0.841105702,0.954705859
312000000,0.824070249,0.9562665
312500000,0.803807506,0.957736057
313000000,0.779555114,0.959121145
313500000,0.750356062,0.960427816
314000000,0.715025947,0.961661611
314500000,0.672132888,0.962827615
315000000,0.620017311,0.963930463
315500000,0.55690081,0.964974517
316000000,0.481161689,0.965963685
316500000,0.391901604,0.966901615
317000000,0.290047379,0.96779166
317500000,0.181283578,0.968636913
318000000,0.095116865,0.969440245
318500000,0.134245541,0.970204303
319000000,0.242407046,0.97093154
319500000,0.352467965,0.971624233
320000000,0.452052897,0.972284488
320500000,0.537964456,0.972914269
321000000,0.610052646,0.973515396
321500000,0.669570083,0.974089533
322000000,0.718309254,0.974638318
322500000,0.758119833,0.975163195
323000000,0.790678187,0.975665528
323500000,0.817405023,0.976146605
324000000,0.839460612,0.976607615
324500000,0.857773411,0.977049677
325000000,0.87307871,0.977473838
325500000,0.88595644,0.977881075
326000000,0.896863941,0.978272303
326500000,0.906162722,0.978648382
327000000,0.914139722,0.979010116
327500000,0.92102381,0.979358263
328000000,0.926998585,0.979693531
328500000,0.932212097,0.980016564
329000000,0.936784776,0.980328035
329500000,0.940814721,0.98062851
330000000,0.944382615,0.980918545
330500000,0.947555087,0.98119866
331000000,0.950387524,0.981469347
331500000,0.952926165,0.98173107
332000000,0.955209854,0.981984265
332500000,0.957271355,0.982229344
333000000,0.959138447,0.982466695
333500000,0.960834795,0.982696685
334000000,0.962380629,0.982919661
334500000,0.963793332,0.983135948
335000000,0.965087853,0.983345838
335500000,0.966277243,0.983549658
336000000,0.967372726,0.983747665
336500000,0.968384127,0.98394012
337000000,0.96932003,0.984127269
337500000,0.970187975,0.984309344
338000000,0.970994586,0.984486567
338500000,0.971745717,0.984659145
339000000,0.972446542,0.984827274
339500000,0.973101652,0.984991142
340000000,0.973715135,0.985150924
340500000,0.97429063,0.985306787
341000000,0.974831391,0.985458888
341500000,0.975340335,0.985607377
342000000,0.975820061,0.985752389
342500000,0.97627295,0.98589407
343000000,0.976701109,0.986032539
343500000,0.977106451,0.986167916
344000000,0.977490706,0.986300314
344500000,0.977855442,0.986429838
345000000,0.978202084,0.98655659
345500000,0.978531924,0.986680665
346000000,0.97884614,0.986802153
346500000,0.979145806,0.986921138
347000000,0.979431901,0.9870377
347500000,0.979705323,0.987151915
348000000,0.979966892,0.987263854
348500000,0.980217358,0.987373584
349000000,0.980457415,0.987481169
349500000,0.980687694,0.987586667
350000000,0.98090878,0.987690135
350500000,0.981121209,0.987791625
351000000,0.981325475,0.987891187
351500000,0.981522037,0.987988867
352000000,0.981711316,0.988084708
352500000,0.981893702,0.988178751
353000000,0.982069556,0.988271035
353500000,0.982239211,0.988361595
354000000,0.982402979,0.988450464
354500000,0.982561145,0.988537674
355000000,0.982713985,0.988623259
355500000,0.982861731,0.988707236
356000000,0.983004621,0.988789634
356500000,0.98314287,0.988870477
357000000,0.983276677,0.988949787
357500000,0.983406228,0.989027584
358000000,0.983531695,0.989103885
358500000,0.983653242,0.989178709
359000000,0.983771018,0.989252071
359500000,0.983885165,0.989323985
360000000,0.983995814,0.989394465
360500000,0.984103089,0.989463522
361000000,0.984207104,0.989531167
361500000,0.984307968,0.989597411
362000000,0.984405794,0.989662272
362500000,0.984500652,0.989725739
363000000,0.984592644,0.989787829
363500000,0.984681853,0.989848548
364000000,0.984768357,0.989907902
364500000,0.984852229,0.989965896
365000000,0.984933539,0.990022536
365500000,0.985012353,0.990077824
366000000,0.985088731,0.990131764
366500000,0.985162731,0.99018436
367000000,0.985234409,0.990235612
367500000,0.985303814,0.990285525
368000000,0.985370995,0.990334099
368500000,0.985436012,0.990381347
369000000,0.985498883,0.990427248
369500000,0.98555966,0.990471814
370000000,0.985618384,0.990515045
370500000,0.98567509,0.990556941
371000000,0.985729815,0.990597505
371500000,0.985782591,0.990636734
372000000,0.985833451,0.990674629
372500000,0.985882424,0.99071119
373000000,0.985929539,0.990746419
373500000,0.985974825,0.990780311
374000000,0.986018306,0.990812871
374500000,0.98606001,0.990844095
375000000,0.98609996,0.990873985
375500000,0.98613819,0.990902553
376000000,0.9861747,0.990929773
376500000,0.986209522,0.99095566
377000000,0.986242679,0.990980212
377500000,0.98627419,0.991003429
378000000,0.986304073,0.991025312
378500000,0.986332348,0.991045863
379000000,0.986359034,0.991065082
379500000,0.986384148,0.991082969
380000000,0.986407707,0.991099526
380500000,0.986429729,0.991114753
381000000,0.986450227,0.991128654
381500000,0.98646922,0.991141229
382000000,0.986486734,0.99115249
382500000,0.986502764,0.991162422
383000000,0.986517333,0.991171034
383500000,0.986530459,0.99117833
384000000,0.986542156,0.991184315
384500000,0.986552437,0.99118899
385000000,0.986561317,0.991192361
385500000,0.98656881,0.991194431
386000000,0.986574929,0.991195206
386500000,0.986579689,0.991194689
387000000,0.986583105,0.991192887
387500000,0.986585189,0.991189805
388000000,0.986585954,0.99118545
388500000,0.986585421,0.991179837
389000000,0.98658359,0.991172956
389500000,0.98658048,0.991164824
390000000,0.986576104,0.991155449
390500000,0.986570479,0.991144841
391000000,0.986563613,0.99113301
391500000,0.986555522,0.991119965
392000000,0.98654622,0.99110572
392500000,0.986535719,0.991090286
393000000,0.986524031,0.991073677
393500000,0.986511171,0.991055908
394000000,0.986497152,0.991036996
394500000,0.986481986,0.991016958
395000000,0.986465687,0.990995813
395500000,0.986448271,0.990973589
396000000,0.986429745,0.9909503
396500000,0.986410127,0.990925977
397000000,0.986389427,0.990900652
397500000,0.986367661,0.990874357
398000000,0.986344842,0.990847131
398500000,0.986320982,0.990819015
399000000,0.986296095,0.990790056
399500000,0.986270196,0.990760302
400000000,0.986243297,0.990729801
400500000,0.986215411,0.990698596
401000000,0.986186553,0.9906667
401500000,0.986156735,0.990634065
402000000,0.986125971,0.990600492
402500000,0.986094276,0.990565436
403000000,0.986061662,0.990527568
403500000,0.986028142,0.99048376
404000000,0.985993731,0.990427016
404500000,0.985958442,0.990343718
405000000,0.985922287,0.990218201
405500000,0.985885281,0.990064622
406000000,0.985847435,0.989944147
406500000,0.985808763,0.989884036
407000000,0.985769275,0.989856327
407500000,0.985728983,0.989835153
408000000,0.985687898,0.989810658
408500000,0.985646027,0.989780762
409000000,0.985603386,0.989745793
409500000,0.985559979,0.989706556
410000000,0.985515816,0.989663812
410500000,0.985470902,0.989618175
411000000,0.985425246,0.989570111
411500000,0.985378853,0.989519976
412000000,0.985331728,0.989468039
412500000,0.985283873,0.989414508
413000000,0.985235292,0.989359548
413500000,0.985185982,0.989303286
414000000,0.985135941,0.989245828
414500000,0.985085161,0.989187261
415000000,0.985033632,0.989127657
415500000,0.984981329,0.989067072
416000000,0.98492824,0.989005571
416500000,0.984874326,0.988943194
417000000,0.984819541,0.988879982
417500000,0.984763827,0.988815973
418000000,0.984707101,0.988751202
418500000,0.984649263,0.988685698
419000000,0.984590176,0.988619491
419500000,0.984529666,0.988552607
420000000,0.984467514,0.98848507
420500000,0.984403458,0.988416907
421000000,0.984337212,0.988348138
421500000,0.984268569,0.988278786
422000000,0.984197666,0.988208863
422500000,0.984125742,0.988138403
423000000,0.984056677,0.988067421
423500000,0.983999273,0.987995932
424000000,0.983966049,0.987923956
424500000,0.98396039,0.987851509
425000000,0.983963938,0.987778607
425500000,0.983954035,0.987705266
426000000,0.983924453,0.987631503
426500000,0.983880144,0.98755733
427000000,0.98382719,0.987482763
427500000,0.983769651,0.987407816
428000000,0.983709793,0.987332503
428500000,0.983648805,0.987256835
429000000,0.983587288,0.987180814
429500000,0.98352557,0.987104468
430000000,0.983463795,0.987027804
430500000,0.98340204,0.986950827
431000000,0.983340336,0.986873548
431500000,0.983278697,0.986795977
432000000,0.983217117,0.98671812
432500000,0.983155597,0.986639982
433000000,0.983094124,0.986561573
433500000,0.983032692,0.986482895
434000000,0.982971289,0.986403955
434500000,0.982909911,0.986324755
435000000,0.982848547,0.986245297
435500000,0.982787185,0.986165576
436000000,0.982725826,0.986085609
436500000,0.982664461,0.986005384
437000000,0.982603078,0.985924901
437500000,0.982541676,0.985844159
438000000,0.982480238,0.98576315
438500000,0.982418762,0.985681871
439000000,0.982357239,0.985600315
439500000,0.982295659,0.985518472
440000000,0.982234011,0.985436333
440500000,0.982172287,0.985353888
441000000,0.982110469,0.985271123
441500000,0.98204855,0.985188024
442000000,0.981986512,0.985104568
442500000,0.981924346,0.985020751
443000000,0.981862037,0.984936545
443500000,0.981799562,0.984851931
444000000,0.981736909,0.984766883
444500000,0.98167405,0.984681377
445000000,0.981610972,0.984595385
445500000,0.981547648,0.984508877
446000000,0.981484055,0.984421822
446500000,0.981420168,0.984334184
447000000,0.981355959,0.984245926
447500000,0.981291399,0.984157011
448000000,0.981226458,0.984067396
448500000,0.981161102,0.983977036
449000000,0.981095294,0.98388588
449500000,0.981029004,0.983793885
450000000,0.98096219,0.983700995
450500000,0.98089481,0.983607154
451000000,0.980826821,0.983512301
451500000,0.98075818,0.983416374
452000000,0.980688837,0.983319307
452500000,0.980618744,0.98322103
453000000,0.980547847,0.983121469
453500000,0.98047609,0.983020547
454000000,0.980403415,0.982918182
454500000,0.980329764,0.982814289
455000000,0.980255068,0.982708779
455500000,0.980179265,0.982601557
456000000,0.980102283,0.982492523
456500000,0.98002405,0.982381575
457000000,0.979944488,0.982268603
457500000,0.979863518,0.982153494
458000000,0.979781055,0.982036128
458500000,0.979697013,0.98191638
459000000,0.979611299,0.981794119
459500000,0.979523819,0.981669207
460000000,0.979434471,0.981541501
460500000,0.979343153,0.981410852
461000000,0.979249754,0.981277102
461500000,0.979154162,0.981140086
462000000,0.979056258,0.980999632
462500000,0.97895592,0.980855565
463000000,0.978853014,0.980707688
463500000,0.978747408,0.980555809
464000000,0.978638959,0.980399723
464500000,0.97852752,0.980239212
465000000,0.978412939,0.980074054
465500000,0.978295053,0.979904011
466000000,0.978173697,0.979728839
466500000,0.978048692,0.979548279
467000000,0.977919859,0.979362065
467500000,0.977787004,0.979169914
468000000,0.977649929,0.978971532
468500000,0.977508425,0.978766614
469000000,0.97736228,0.978554844
469500000,0.977211255,0.978335875
470000000,0.97705512,0.978109364
470500000,0.976893625,0.977874945
471000000,0.976726512,0.977632238
471500000,0.976553512,0.977380847
472000000,0.976374342,0.977120356
472500000,0.976188708,0.976850334
473000000,0.975996305,0.976570333
473500000,0.975796812,0.976279886
474000000,0.975589898,0.97597851
474500000,0.975375217,0.975665699
475000000,0.975152409,0.975340935
475500000,0.974921109,0.97500369
476000000,0.974680915,0.974653388
476500000,0.974431436,0.974289469
477000000,0.974172258,0.973911347
477500000,0.973902954,0.973518421
478000000,0.973623088,0.973110082
478500000,0.973332211,0.97268571
479000000,0.973029867,0.972244679
479500000,0.97271559,0.971786365
480000000,0.972388912,0.971310143
480500000,0.972049363,0.9708154
481000000,0.971696474,0.970301537
481500000,0.971329785,0.969767983
482000000,0.970948845,0.969214191
482500000,0.970553231,0.968639677
483000000,0.970142526,0.968043976
483500000,0.969716367,0.967426718
484000000,0.969274433,0.966787613
484500000,0.968816461,0.966126465
485000000,0.968342256,0.965443186
485500000,0.967851711,0.964737822
486000000,0.967344825,0.964010571
486500000,0.966821717,0.963261782
487000000,0.966282644,0.962491994
487500000,0.965728025,0.961701926
488000000,0.965158464,0.960892495
488500000,0.964574763,0.960064822
489000000,0.963977949,0.95922023
489500000,0.963369269,0.958360195
490000000,0.962750237,0.957486387
490500000,0.962122613,0.956600594
491000000,0.961488404,0.955704684
491500000,0.960849867,0.954800554
492000000,0.96020947,0.953890057
492500000,0.95956986,0.952974918
493000000,0.958933821,0.952056668
493500000,0.958304198,0.951136524
494000000,0.957683819,0.950215306
494500000,0.957075415,0.949293365
495000000,0.956481496,0.948370477
495500000,0.955904264,0.947445795
496000000,0.955345501,0.946517799
496500000,0.954806451,0.945584255
497000000,0.954287749,0.944642231
497500000,0.953789345,0.943688105
498000000,0.953310448,0.942717613
498500000,0.952849503,0.941725906
499000000,0.952404199,0.940707627
499500000,0.951971491,0.939657003
500000000,0.95154767,0.938567952
500500000,0.951128417,0.937434168
501000000,0.950708902,0.936249236
501500000,0.950283889,0.935006736
502000000,0.949847825,0.933700336
502500000,0.949394934,0.932323889
503000000,0.948919321,0.930871525
503500000,0.948415036,0.92933777
504000000,0.947876155,0.927717606
504500000,0.947296814,0.926006612
505000000,0.946671269,0.924201056
505500000,0.945993906,0.922298027
506000000,0.945259267,0.920295578
506500000,0.944462064,0.918192878
507000000,0.943597174,0.915990404
507500000,0.942659649,0.913690116
508000000,0.941644713,0.91129568
508500000,0.940547788,0.908812665
509000000,0.939364505,0.906248798
509500000,0.938090729,0.903614127
510000000,0.936722623,0.900921234
510500000,0.935256709,0.898185318
511000000,0.933689954,0.8954243
511500000,0.932019905,0.892658723
512000000,0.930244843,0.889911614
512500000,0.928363966,0.887208139
513000000,0.926377628,0.884575099
513500000,0.924287604,0.882040268
514000000,0.922097396,0.879631511
514500000,0.9198126,0.877375859
515000000,0.917441249,0.87529833
515500000,0.914994203,0.873420903
516000000,0.912485526,0.871761325
516500000,0.909932787,0.870332335
517000000,0.907357303,0.869140742
517500000,0.904784209,0.868187153
518000000,0.902242385,0.867465744
518500000,0.89976405,0.866964543
519000000,0.897384153,0.866665997
519500000,0.895139334,0.866547701
520000000,0.893066634,0.86658348
520500000,0.891201872,0.866744454
521000000,0.889577832,0.867000137
521500000,0.888222393,0.867319494
522000000,0.887156807,0.867671848
522500000,0.886394179,0.86802756
523000000,0.885938542,0.868358636
523500000,0.885784404,0.868638892
524000000,0.885917029,0.868844177
524500000,0.886313316,0.868952251
525000000,0.886943203,0.868942673
525500000,0.887771472,0.868796494
526000000,0.888759716,0.86849595
526500000,0.889868302,0.868024203
527000000,0.891058217,0.867365004
527500000,0.892292602,0.866502474
528000000,0.893537951,0.865420877
528500000,0.894764935,0.864104456
529000000,0.895948839,0.862537308
529500000,0.897069647,0.860703306
530000000,0.898111853,0.85858602
530500000,0.899063925,0.856168579
531000000,0.899917605,0.853433674
531500000,0.90066709,0.850363539
532000000,0.9013081,0.84693982
532500000,0.901837003,0.843143644
533000000,0.902249986,0.838955593
533500000,0.902542445,0.834355814
534000000,0.902708595,0.829324099
534500000,0.902741253,0.823840158
