Freq [MHz],"re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,0.581773496,-340.72164
105,0.597255809,-317.8338803
110,0.648501696,-296.6585001
115,0.726562935,-276.9509269
120,0.82530246,-258.5055306
125,0.940701538,-241.1476385
130,1.070369058,-224.7273369
135,1.213196061,-209.1145922
140,1.369116789,-194.1953491
145,1.53895002,-179.8683598
150,1.72430318,-166.0425503
155,1.92752832,-152.6347794
160,2.151724207,-139.5678653
165,2.400783516,-126.7687748
170,2.679488991,-114.1668713
175,2.993668502,-101.6921089
180,3.350427403,-89.27303973
185,3.758489773,-76.83445297
190,4.228702068,-64.29438495
195,4.774791163,-51.56009591
200,5.414539699,-38.52235476
205,6.171678602,-25.04690724
210,7.079075718,-10.96111399
215,8.18440268,3.968033545
220,9.560860457,20.07208847
225,11.32906773,37.85169135
230,13.73459112,58.24681888
235,17.49087055,83.46876101
240,27.95672071,123.7672585
245,20.81837993,70.88693131
250,24.50534142,164.6714063
255,96.81567596,255.6686422
260,112.2441441,-30.16040844
265,113.6576764,349.9653609
270,765.6965303,-81.48812171
275,81.70810416,157.7476766
280,372.055468,422.7197233
285,678.4307184,-260.4036188
290,344.1660359,-257.4896588
295,223.8991567,-221.5792632
300,154.4214179,-173.8388486
305,114.196981,-128.6935478
310,91.13677143,-88.79756485
315,78.76833057,-53.93518266
320,73.49307442,-23.39198183
325,73.1725114,3.463338367
330,76.42272384,27.07680229
335,82.25567905,47.73213374
340,89.89491195,65.60098661
345,98.68414836,80.79283934
350,108.0481274,93.39638915
355,116.749688,103.9240581
360,124.529605,112.583221
365,130.3671903,120.4063033
370,133.8735907,128.9559052
375,135.4868223,139.9062769
380,136.3790275,154.6419411
385,138.2138519,174.0404493
390,142.9322329,198.4293817
395,152.6482783,227.6011969
400,169.6294476,260.772048
405,196.2752181,296.4210553
410,234.9785497,332.001839
415,287.7310222,363.5881304
420,355.3341173,385.6357998
425,436.1894687,391.2234033
430,524.9831749,373.2597935
435,612.1387192,326.9031898
440,685.2056303,252.5110591
445,732.5100277,157.2737837
450,747.443932,53.78319813
455,730.6754672,-44.0886063
460,689.0296811,-125.4635684
465,632.3130779,-184.6097083
470,570.2241594,-220.7054887
475,510.5223603,-236.3351931
480,458.4493792,-235.8337336
485,416.9206098,-224.0180859
490,387.0522391,-205.4013792
495,368.7655863,-183.8145521
500,361.3371265,-162.3351596
505,363.8278834,-143.4415211
510,375.3511754,-129.339717
515,395.122114,-122.4452529
520,422.1428189,-126.0173636
525,454.1584983,-144.8330452
530,485.2281885,-185.1893526
535,501.8346663,-251.7747046
540,482.3234845,-337.5188002
545,412.611438,-412.7961111
550,311.4219916,-442.3783891
555,217.7595937,-422.1077116
560,152.8395299,-374.9093867
565,115.2385115,-321.8367207
570,96.24197986,-272.4680329
575,88.50136808,-228.9773729
580,87.55541387,-190.5375702
585,91.24473172,-155.4277254
590,99.13163132,-121.7887817
595,112.4151869,-87.936079
600,134.4666284,-52.93447869
