"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.0418677476183848,-0.0325076321405913,0.546401122269406,-0.167636712446387,-0.03250763214059,0.0487082368251301,-0.163960452639759,0.797729203920694,0.546401122269406,-0.16396045263976,0.0599892305415692,-0.0419379547280614,-0.167636712446386,0.797729203920692,-0.0419379547280619,0.061502178806319
3.1,-0.114758639784774,-0.169237079191229,0.488952421110088,-0.181477786789963,-0.169237079191234,0.137057310333394,-0.18245739252106,0.619270378404859,0.48895242111008,-0.182457392521054,-0.097338751360966,-0.178413352879435,-0.181477786789974,0.619270378404877,-0.178413352879435,0.149985155783641
3.2,-0.220718110437964,-0.315380621749762,0.432476700002057,-0.13783376197317,-0.315380621749765,0.197209042162624,-0.142700208601192,0.378735529020032,0.432476700002056,-0.142700208601192,-0.203844097485905,-0.323674659527177,-0.137833761973173,0.378735529020035,-0.323674659527177,0.205662219659576
3.3,-0.292588549951602,-0.431528932149625,0.372345373450403,-0.0467540631702987,-0.431528932149626,0.189259848134069,-0.0547313650886982,0.111884597012307,0.372345373450407,-0.0547313650886947,-0.276224382717083,-0.437555685717776,-0.0467540631703061,0.111884597012307,-0.437555685717782,0.189164200565262
3.4,-0.344626991450302,-0.500969573394997,0.292260763412471,0.0768533265565462,-0.500969573394997,0.0999022786785974,0.0668265444140823,-0.163267783577467,0.292260763412471,0.066826544414082,-0.329374132350785,-0.502461345523706,0.076853326556544,-0.163267783577464,-0.502461345523707,0.088883865435717
3.5,-0.354352153795323,-0.50577652632468,0.15200682286828,0.211322602051941,-0.50577652632468,-0.0465643093706459,0.202807562816505,-0.421995495311046,0.15200682286828,0.20280756281651,-0.343469055647515,-0.49906536937552,0.21132260205194,-0.421995495311048,-0.499065369375515,-0.067051128666584
3.6,-0.223677276319206,-0.381975930663678,-0.152649450810482,0.261153982449467,-0.38197593066368,-0.151103498799298,0.263563992719322,-0.63843358733916,-0.152649450810477,0.263563992719326,-0.22821167236934,-0.362960552294108,0.261153982449459,-0.638433587339154,-0.36296055229411,-0.169942015047976
3.7,0.0103447146298184,-0.113592065499237,-0.568133019087422,0.122559860537543,-0.113592065499234,-0.0284111183403251,0.138804037210385,-0.814501935048983,-0.568133019087423,0.138804037210388,-0.0177080222436029,-0.0913773430669755,0.122559860537539,-0.814501935048982,-0.0913773430669725,-0.034685020543546
3.8,-0.138752742670291,-0.0849132779518273,-0.5725532367792,0.105241756863881,-0.0849132779518262,0.161007990983818,0.112874183902657,-0.735079559501454,-0.572553236779198,0.112874183902654,-0.163239426207812,-0.0719262984683521,0.105241756863881,-0.735079559501456,-0.0719262984683535,0.152957049652373
3.9,-0.352310302715851,-0.234645106964236,-0.439547436877969,0.129318876460143,-0.234645106964236,0.280679530421527,0.129079629960321,-0.446312277781116,-0.439547436877969,0.12907962996032,-0.367193286462249,-0.226182133219424,0.129318876460144,-0.446312277781118,-0.226182133219426,0.27413868918937
